N.º de Registo;Autor;Título;Vol.;Editor;Local de Edição;Data de entrada;Modo de Aquisição;Material Acompanhante;;;estantes;prateleira
167;Christian Voltz;Eu não fui!;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;;
168;Isabel Minhós Martins;Quando eu nasci;;Planeta Tangerina;Oeiras;03/10/2011;Compra;;;;Pré-Escolar;A
169;Isabel Minhós Martins;Depressa, devagar;;Planeta Tangerina;Oeiras;03/10/2011;Compra;;;;Pré-Escolar;A
170;Isabel Minhós Martins;Como é que uma galinha…;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-Escolar;A
171;Isabel Minhós Martins;O livro dos quintais;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-escolar;A
172;Isabel Minhós Martins;Cá em casa somos…;;Planeta Tangerina;Oeiras;03/10/2011;Compra;;;;Pré-escolar;A
173;Davide Cali;Um dia, um guarda-chuva...;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-escolar;A
174;il. Madalena Matosos;Todos fazemos tudo;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-Escolar;A
175;Mercedes Prieto, Montse Rivera;Pezinhos de lã;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;;
176;trad. Ermelinda Mutenha, Kai Immig;Correio para o tigre;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;para refletir;A
177;trad. Miguel Gouveia;Na noite escura;;Bruaá;Figueira de Foz;03/10/2011;Compra;;;;;
178;Anke de Vries;Grisela;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;D
179;Menena Cottin;O livro negro das cores;;Bruaá;Figueira de Foz;03/10/2011;Compra;;;;Creche;A
180;Chema Heras;Avós;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;C
181;Christian Voltz;Ainda nada?;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;C
182;Ursula Wölfel;29 histórias disparatadas;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;para refletir;A
183;Anouck Boisrobert, Louis Rigaud;Popville;;Bruaá;[Figueira da Foz];03/10/2011;Compra;;;;;
184;Xosé Manuel González;Artur;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;;
185;Margarida Botelho;Eva;;Ed. do Autor;[S.l.];03/10/2011;Compra;;;;;
186;Isabel Minhós Martins;Pé de pai;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-Escolar;A
187;Isabel Minhós Martins;Coração de mãe;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-Escolar;A
188;Isabel Minhós Martins;A manta;;Planeta Tangerina;Carcavelos;03/10/2011;Compra;;;;Pré-Escolar;A
189;Paloma Valdivia;Os de cima e os de baixo;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;C
190;Anthony Brownw;Pela floresta;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Pré-Escolar;B
191;Marisa Núñez;A Zebra Camila;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;;
192;Elisa Ramón;Não é fácil pequeno esquilo!;;Kalandraka;Matosinhos;03/10/2011;Compra;;;;Creche;C
